dataset,algorithm,fold,roc_auc,train_time_s,inference_time_s,error
credit-g,random_forest,0,0.7825595238095236,0.12772875300288433,0.007784516998071922,
credit-g,random_forest,1,0.7800595238095238,0.11942905400064774,0.008163898000930203,
credit-g,random_forest,2,0.7613095238095239,0.1156421589985257,0.0072738589988148306,
credit-g,random_forest,3,0.8147619047619048,0.11604402299781214,0.007671528997889254,
credit-g,random_forest,4,0.7673214285714285,0.11549180499787326,0.007472889999917243,
credit-g,xgboost,0,0.7873809523809524,0.13106151099782437,0.0045134879983379506,
credit-g,xgboost,1,0.7505952380952381,0.03208500700202421,0.00506993100134423,
credit-g,xgboost,2,0.7869047619047619,0.03551323699866771,0.004918383998301579,
credit-g,xgboost,3,0.7825000000000001,0.03205507500024396,0.0043964649994450156,
credit-g,xgboost,4,0.7845238095238095,0.03491978100282722,0.0032653559974278323,
credit-g,lightgbm,0,0.7780952380952382,0.06403163699724246,0.0047176230000332,
credit-g,lightgbm,1,0.7411904761904762,0.03917668600115576,0.004724818001704989,
credit-g,lightgbm,2,0.7394047619047619,0.03851450200090767,0.004831715999898734,
credit-g,lightgbm,3,0.8020238095238095,0.03913142199962749,0.004206702000374207,
credit-g,lightgbm,4,0.7730952380952381,0.03943942600017181,0.005159031999937724,
credit-g,catboost,0,0.8044047619047618,3.1667551770005957,0.0027529159997357056,
credit-g,catboost,1,0.7486904761904761,3.144955502000812,0.0023873600002843887,
credit-g,catboost,2,0.7767857142857143,3.07489454700044,0.0026140830013900995,
credit-g,catboost,3,0.8313095238095237,3.0706982880001306,0.0018619309994392097,
credit-g,catboost,4,0.7853571428571429,3.0545503459979955,0.002307926999492338,
credit-g,tabpfn,0,0.7927380952380952,1.2913876239981619,2.0139253760025895,
credit-g,tabpfn,1,0.7634523809523809,0.6093864659997053,0.618213118003041,
credit-g,tabpfn,2,0.7958333333333333,0.4087211299993214,0.5998583910004527,
credit-g,tabpfn,3,0.8319047619047619,0.4121506320007029,0.6385598509987176,
credit-g,tabpfn,4,0.8058333333333334,0.4043326689970854,0.604529463002109,
credit-g,tabicl,0,0.7870238095238095,0.40252547999989474,0.5169124560015916,
credit-g,tabicl,1,0.7660714285714285,0.390212263999274,0.4749882579999394,
credit-g,tabicl,2,0.8004761904761906,0.4126954389976163,0.4787452109994774,
credit-g,tabicl,3,0.8172619047619047,0.3415206030003901,0.4816577450001205,
credit-g,tabicl,4,0.8114285714285715,0.37380747299903305,0.4779889860001276,
