dataset,algorithm,fold,roc_auc,train_time_s,inference_time_s
credit-g,random_forest,0,0.7825595238095236,0.12745115899997472,0.007666698000321048
credit-g,random_forest,1,0.7800595238095238,0.11745384399910108,0.007887639998443774
credit-g,random_forest,2,0.7613095238095239,0.12418100099966978,0.008436683001491474
credit-g,random_forest,3,0.8147619047619048,0.12725639500058605,0.00792997899952752
credit-g,random_forest,4,0.7673214285714285,0.13268782399973134,0.009300764000727213
credit-g,xgboost,0,0.7873809523809524,0.13861269900007755,0.004780420000315644
credit-g,xgboost,1,0.7505952380952381,0.03729374800059304,0.0054835659993841546
credit-g,xgboost,2,0.7869047619047619,0.03968177000024298,0.003628196000136086
credit-g,xgboost,3,0.7825000000000001,0.03471741899920744,0.0052480960002867505
credit-g,xgboost,4,0.7845238095238095,0.039210602999446564,0.004956093000146211
credit-g,lightgbm,0,0.7780952380952382,0.07822411699999066,0.005112984999868786
credit-g,lightgbm,1,0.7411904761904762,0.03900416699980269,0.004101258000446251
credit-g,lightgbm,2,0.7394047619047619,0.03863445299975865,0.004956372999004088
credit-g,lightgbm,3,0.8020238095238095,0.039919839000504,0.003678369999761344
credit-g,lightgbm,4,0.7730952380952381,0.034719216000667075,0.00339178499962145
credit-g,catboost,0,0.8044047619047618,3.5003772800009756,0.003085868998823571
credit-g,catboost,1,0.7486904761904761,3.5931147350001993,0.0022014549995219568
credit-g,catboost,2,0.7767857142857143,3.6644883030003257,0.0020727350001834566
credit-g,catboost,3,0.8313095238095237,3.2219976319993293,0.002132957999492646
credit-g,catboost,4,0.7853571428571429,3.4391256460003206,0.002021209000304225
credit-g,tabpfn,0,0.7927380952380952,1.1022752730004868,1.752560638000432
credit-g,tabpfn,1,0.7634523809523809,0.6291636549995019,0.621445610999217
credit-g,tabpfn,2,0.7958333333333333,0.44478813899877423,0.6189927569994325
credit-g,tabpfn,3,0.8319047619047619,0.42346577599892044,0.6326319129984768
credit-g,tabpfn,4,0.8058333333333334,0.4180051420007658,0.6319842499997321
credit-g,tabicl,0,0.7870238095238095,0.4078153509999538,0.48438662399894383
credit-g,tabicl,1,0.7660714285714285,0.3800250149997737,0.45725263399981486
credit-g,tabicl,2,0.8004761904761906,0.4594670179994864,0.45467370999904233
credit-g,tabicl,3,0.8172619047619047,0.33662925199860183,0.46894538900050975
credit-g,tabicl,4,0.8114285714285715,0.3538479590006318,0.4560990270001639
diabetes,random_forest,0,0.856111111111111,0.10572322900043218,0.0045270419996086275
diabetes,random_forest,1,0.8404629629629631,0.10683082500145247,0.004350273000454763
diabetes,random_forest,2,0.8239814814814815,0.10126644800038775,0.0042053829984070035
diabetes,random_forest,3,0.8011320754716982,0.10551074300019536,0.004445951999514364
diabetes,random_forest,4,0.7972641509433962,0.10534408199964673,0.00433048500053701
diabetes,xgboost,0,0.7975925925925926,0.029447880000589066,0.0018637459997989936
diabetes,xgboost,1,0.8316666666666666,0.028871435999462847,0.002184914999816101
diabetes,xgboost,2,0.8007407407407408,0.03282680800111848,0.0030052450001676334
diabetes,xgboost,3,0.7835849056603774,0.03445979800017085,0.0028276230004848912
diabetes,xgboost,4,0.7373584905660376,0.03459333700084244,0.003051369998502196
diabetes,lightgbm,0,0.8181481481481482,0.021646658000463503,0.0011297170003672363
diabetes,lightgbm,1,0.8351851851851851,0.020412636000401108,0.0007640949988854118
diabetes,lightgbm,2,0.7890740740740741,0.02543901100034418,0.0010435059994051699
diabetes,lightgbm,3,0.7830188679245282,0.021922011001151986,0.0008920929994928883
diabetes,lightgbm,4,0.7611320754716981,0.021303198000168777,0.0008429019999312004
diabetes,catboost,0,0.855925925925926,1.4983655029991496,0.005325219999576802
diabetes,catboost,1,0.862037037037037,1.4795099209986802,0.0009455540002818452
diabetes,catboost,2,0.8192592592592592,1.5578670310005691,0.0010446679989399854
diabetes,catboost,3,0.8160377358490567,1.4685301650006295,0.0012365560014586663
diabetes,catboost,4,0.7962264150943396,1.5682321210006194,0.0009046670002135215
diabetes,tabpfn,0,0.8466666666666667,0.4830185350001557,0.5986545699997805
diabetes,tabpfn,1,0.8683333333333333,0.4518022550000751,0.5890457709992916
diabetes,tabpfn,2,0.8437037037037037,0.4432263620001322,0.5897963510014961
diabetes,tabpfn,3,0.8318867924528303,0.47094901600030425,0.5977458550005394
diabetes,tabpfn,4,0.8043396226415095,0.48196098299922596,0.5906134159995418
diabetes,tabicl,0,0.8440740740740741,0.3528369739997288,0.2760430689995701
diabetes,tabicl,1,0.8629629629629629,0.32041391500024474,0.26277849700090883
diabetes,tabicl,2,0.8511111111111112,0.3337880210001458,0.2602606270011165
diabetes,tabicl,3,0.8279245283018868,0.330727376998766,0.2600231939995865
diabetes,tabicl,4,0.8175471698113208,0.3263397110004007,0.25761868600056914
sick,random_forest,0,0.9952934322683511,0.1837617169985606,0.012339947001237306
sick,random_forest,1,0.9966492366871018,0.17679179300102987,0.011366105998604326
sick,random_forest,2,0.9962386391549989,0.18216157700044278,0.012257107999175787
sick,random_forest,3,0.997466838614591,0.18292402000042784,0.010898603999521583
sick,random_forest,4,0.9963307541144681,0.1797788390013011,0.010846928000319167
sick,xgboost,0,0.9961672901208071,0.04273739499876683,0.00681406799958495
sick,xgboost,1,0.9869275153263612,0.04336846600017452,0.007031344001006801
sick,xgboost,2,0.9984033407025301,0.0479343519982649,0.008634001000245917
sick,xgboost,3,0.9979734708916729,0.044722532000378123,0.004819797999516595
sick,xgboost,4,0.9990174404323262,0.04612043899942364,0.006943688998944708
sick,lightgbm,0,0.9978230207886184,0.07155505000082485,0.006894477000969346
sick,lightgbm,1,0.9936290419521576,0.05879808499958017,0.005312447001415421
sick,lightgbm,2,0.9991095553917957,0.06566209100128617,0.006396258000677335
sick,lightgbm,3,0.9984954556619995,0.05710955099857529,0.005444202000944642
sick,lightgbm,4,0.9976357160402849,0.06726701899970067,0.005520935999811627
sick,catboost,0,0.9980683142208868,3.5539185810011986,0.0029557020006905077
