dataset,algorithm,fold,roc_auc,train_time_s,inference_time_s,error
credit-g,random_forest,0,0.7825595238095236,0.1695949770510196,0.0099848969839513,
credit-g,random_forest,1,0.7800595238095238,0.1622607819736004,0.0099203810095787,
credit-g,random_forest,2,0.7613095238095239,0.1617702100193128,0.0106383010279387,
credit-g,random_forest,3,0.8147619047619048,0.1619635680690407,0.0097988999914377,
credit-g,random_forest,4,0.7673214285714285,0.1604167630430311,0.0097999810241162,
credit-g,xgboost,0,0.7873809523809524,0.3201721579534933,0.0057282710913568,
credit-g,xgboost,1,0.7505952380952381,0.0892240479588508,0.0057745090452954,
credit-g,xgboost,2,0.7869047619047619,0.0877235209336504,0.0053707370534539,
credit-g,xgboost,3,0.7825000000000001,0.0887206880142912,0.0054320390336215,
credit-g,xgboost,4,0.7845238095238095,0.0873805889859795,0.0053515690378844,
credit-g,lightgbm,0,0.7780952380952382,0.1473594550043344,0.0057020121021196,
credit-g,lightgbm,1,0.7411904761904762,0.14258283295203,0.0048897999804466,
credit-g,lightgbm,2,0.7394047619047619,0.1411798209883272,0.0048322749789804,
credit-g,lightgbm,3,0.8020238095238095,0.1691439849091693,0.0054125499445945,
credit-g,lightgbm,4,0.7730952380952381,0.153130768914707,0.0045754619641229,
credit-g,catboost,0,0.8044047619047618,7.9119725859491155,0.0037390850484371,
credit-g,catboost,1,0.7486904761904761,8.651424348005094,0.00345858593937,
credit-g,catboost,2,0.7767857142857143,8.29858499392867,0.0033392990007996,
credit-g,catboost,3,0.8313095238095237,8.238620951073244,0.0028227180009707,
credit-g,catboost,4,0.7853571428571429,8.15846320008859,0.003639745991677,
credit-g,tabpfn,0,0.7927380952380952,1.3868533900240436,2.184230384998955,
credit-g,tabpfn,1,0.7632142857142857,0.6873334560077637,0.4787744149798527,
credit-g,tabpfn,2,0.7958333333333333,0.5952170249074697,0.4778226660564542,
credit-g,tabpfn,3,0.8317857142857144,0.5955180539749563,0.4813250090228393,
credit-g,tabpfn,4,0.8058333333333334,0.6144887179834768,0.4787814470473677,
credit-g,tabicl,0,0.7870238095238095,0.4335582609055564,0.1519665640080347,
credit-g,tabicl,1,0.7660714285714285,0.5602481178939342,0.1048216829076409,
credit-g,tabicl,2,0.8004761904761906,0.3669846429256722,0.1044221180491149,
credit-g,tabicl,3,0.8172619047619047,0.3687384079676121,0.105225675040856,
credit-g,tabicl,4,0.8114285714285715,0.3654838459333405,0.1041453749639913,
diabetes,random_forest,0,0.856111111111111,0.1534281519707292,0.0064834759104996,
diabetes,random_forest,1,0.8404629629629631,0.1408005049452185,0.0059265760937705,
diabetes,random_forest,2,0.8239814814814815,0.141150266979821,0.0058958099689334,
diabetes,random_forest,3,0.8011320754716982,0.1420248810900375,0.0059589450247585,
diabetes,random_forest,4,0.7972641509433962,0.1399848900036886,0.0061694980831816,
diabetes,xgboost,0,0.7975925925925926,0.3370648649288341,0.0039314619498327,
diabetes,xgboost,1,0.8316666666666666,0.0952354910550639,0.0033625030191615,
diabetes,xgboost,2,0.8007407407407408,0.0982860589865595,0.0050495079485699,
diabetes,xgboost,3,0.7835849056603774,0.095120039070025,0.0033873099600896,
diabetes,xgboost,4,0.7373584905660376,0.0936558459652587,0.0034019319573417,
diabetes,lightgbm,0,0.8181481481481482,0.1027430340182036,0.0020322799682617,
diabetes,lightgbm,1,0.8351851851851851,0.1030615390045568,0.0018816050142049,
diabetes,lightgbm,2,0.7890740740740741,0.1034958870150148,0.00210864294786,
diabetes,lightgbm,3,0.7830188679245282,0.1001931020291522,0.0020967959426343,
diabetes,lightgbm,4,0.7611320754716981,0.1044763290556147,0.0021549829980358,
diabetes,catboost,0,0.855925925925926,1.1726773760747164,0.0014205080224201,
diabetes,catboost,1,0.862037037037037,1.194945227005519,0.0011545510496944,
diabetes,catboost,2,0.8192592592592592,1.1635915599763391,0.0011500939726829,
diabetes,catboost,3,0.8160377358490567,1.1399754791054877,0.0012608699034899,
diabetes,catboost,4,0.7962264150943396,1.1189191959565503,0.0019035480218008,
diabetes,tabpfn,0,0.8466666666666667,0.9455447139916942,1.681633501080796,
diabetes,tabpfn,1,0.8683333333333333,0.6077439819928259,0.4350136599969119,
diabetes,tabpfn,2,0.8437037037037037,1.7737384339561686,0.4389870760496706,
diabetes,tabpfn,3,0.8318867924528303,0.6145093590021133,0.6874124029418454,
diabetes,tabpfn,4,0.8043396226415095,0.6211278770351782,0.4387307830620557,
diabetes,tabicl,0,0.8440740740740741,0.4356739660724997,0.1345413039671257,
diabetes,tabicl,1,0.8629629629629629,0.4448467720067128,0.0703732530819252,
diabetes,tabicl,2,0.8511111111111112,0.5022881228942424,0.070703824982047,
diabetes,tabicl,3,0.8279245283018868,0.342101152986288,0.0694818029878661,
diabetes,tabicl,4,0.8175471698113208,0.3424776550382375,0.071011253981851,
sick,random_forest,0,0.9952934322683512,0.3324732489418238,0.0148082879604771,
sick,random_forest,1,0.9966492366871018,0.321743901935406,0.0147596959723159,
sick,random_forest,2,0.9962386391549988,0.3278055100236088,0.0172242400003597,
sick,random_forest,3,0.997466838614591,0.3277535019442439,0.0150519720045849,
sick,random_forest,4,0.996330754114468,0.3272485790075734,0.0150571389822289,
sick,xgboost,0,0.9961672901208072,0.4105601928895339,0.0072364589432254,
sick,xgboost,1,0.9869275153263612,0.0976177930133417,0.0069512539776042,
sick,xgboost,2,0.99840334070253,0.1016501750564202,0.0069203180028125,
sick,xgboost,3,0.9979734708916728,0.0983471299987286,0.0065023449715226,
sick,xgboost,4,0.9990174404323262,0.0952242340426892,0.0065698859980329,
sick,lightgbm,0,0.9978230207886184,0.220229799975641,0.0071891079423949,
sick,lightgbm,1,0.9936290419521576,0.2258488179650157,0.0070175119908526,
sick,lightgbm,2,0.9991095553917956,0.182996256975457,0.0067901739384979,
sick,lightgbm,3,0.9984954556619996,0.1768318960675969,0.0069209190551191,
sick,lightgbm,4,0.9976357160402848,0.1732944119721651,0.0070310329319909,
sick,catboost,0,0.9980683142208868,4.747125877998769,0.0059452039422467,
sick,catboost,1,0.9944103858636856,4.3700838789809495,0.0037238619988784,
sick,catboost,2,0.9995394252026528,4.57128334697336,0.0042431859765201,
sick,catboost,3,0.999355195283714,4.49959282996133,0.0041830469854176,
sick,catboost,4,0.9992630803242446,4.59847035096027,0.0039392939070239,
sick,tabpfn,0,0.9989575029128596,1.0366570770274848,2.085491730947979,
sick,tabpfn,1,0.9965741074648397,0.6966290840646252,0.7148952390998602,
sick,tabpfn,2,0.9993551952837142,0.6317816509399563,1.6476580559974536,
sick,tabpfn,3,0.9989867354458364,0.7066897739423439,0.9106397120049224,
sick,tabpfn,4,0.9981884057971014,1.445953015005216,0.8619396639987826,
sick,tabicl,0,0.9981602992579874,0.6999433059245348,0.4667737430427223,
sick,tabicl,1,0.9972953479985576,0.4643620779970661,0.1816977619891986,
sick,tabicl,2,0.9988639154998772,0.4544245710130781,0.3909307359717786,
sick,tabicl,3,0.9988332105133874,0.465093167964369,0.2277815690031275,
sick,tabicl,4,0.9986796855809384,0.440987677895464,0.1859941369621083,
